jefit_name,hevy_template_id,match_type,notes
Ab Crunch Machine,DCF3B31B,partial,
Air Bike,A41C7261,manual_fix,
Back Extension Machine,A05C064D,manual,-> Back Extension (Machine)
Back Hyperextension,091737FA,community_map,
Band Bench Press,EAC7D9C5,manual,-> Chest Press (Band)
Band Cross Over,DDB7C19F,manual,-> Chest Fly (Band)
Band Lateral Raises,DF200976,manual,-> Lateral Raise (Band)
Band Squat,F1258206,manual,-> Squat (Band)
Barbell Ab Rollout,99D5F10E,manual,-> Ab Wheel
Barbell Ab Rollout on Knees,99D5F10E,community_map,
Barbell Bench Press,79D0BB3A,community_map,
Barbell Bench Press (Close Grip),35B51B87,community_map,
Barbell Bent Over Row,55E6546F,community_map,
Barbell Bent-Over Row,55E6546F,community_map,
Barbell Body Row,425805F4,manual,-> Inverted Row
Barbell Bulgarian Split Squat,B5D3A742,community_map,
Barbell Close Grip Bench Press,35B51B87,community_map,
Barbell Close Grip Preacher Curl,4F942934,manual,-> Preacher Curl (Barbell)
Barbell Curl,A5AC6449,community_map,
Barbell Deadlift,C6272009,community_map,
Barbell Decline Bench Press,DA0F0470,community_map,
Barbell EZ Bar Reverse Grip Curl,112FC6B7,manual,-> Reverse Curl (Barbell)
Barbell Front Squat,5046D0A9,community_map,
Barbell Good Morning,4180C405,community_map,
Barbell Hip Thrust,D57C2EC7,community_map,
Barbell Incline Bench Press,50DFDFAB,community_map,
Barbell Incline Bench Press (Close Grip),50DFDFAB,manual,-> Incline Bench Press (Barbell)
Barbell Incline Close Grip Bench Press,50DFDFAB,manual,-> Incline Bench Press (Barbell)
Barbell Lying Triceps Extension,875F585F,community_map,
Barbell Military Press,073032BB,community_map,
Barbell Overhead Squat,2CFED196,partial,
Barbell Preacher Curl,4F942934,community_map,
Barbell Push Press,542F3CD5,partial,
Barbell Rack Pull,FE389074,partial,
Barbell Reverse Grip Skullcrusher,875F585F,manual,-> Skullcrusher (Barbell)
Barbell Romanian Deadlift,2B4B7310,community_map,
Barbell Shrug,0B841777,community_map,
Barbell Snatch Shrug,FB09C938,partial,
Barbell Spider Curl,2348AB72,manual,-> Spider Curl (Barbell)
Barbell Squat,D04AC939,community_map,
Barbell Standing Military Press,073032BB,community_map,
Barbell Sumo Deadlift,D20D7BBE,partial,
Barbell Supine Triceps Extension,2F8D3067,community_map,
Barbell Up Right Row,7AB9A362,manual_fix,
Bench Press Machine,7EB3F7C3,manual,-> Chest Press (Machine)
Bench Pushups,39C99849,manual_review,-> Incline Push Ups  (REVIEW)
Bicep Curl Machine,AF328E3D,community_map,
Bodyweight Step Up,128A2381,partial,
Box Jump Multiple Response,56092DD1,partial,
Cable Bicep Curl,ADA8623C,community_map,
Cable Biceps Curl,ADA8623C,manual,-> Bicep Curl (Cable)
Cable Close Grip Curl,ADA8623C,manual,-> Bicep Curl (Cable)
Cable Cross Over,651F844C,community_map,
Cable Cross-Over,651F844C,community_map,
Cable Crunch,23A48484,community_map,
Cable Fly on Exercise Ball,651F844C,manual,-> Cable Fly Crossovers
Cable Front Lat Pulldown (Close Grip),4E5257DE,community_map,
Cable High Cross Over,651F844C,manual,-> Cable Fly Crossovers
Cable High Cross-Over,651F844C,manual,-> Cable Fly Crossovers
Cable Incline Fly,651F844C,manual,-> Cable Fly Crossovers
Cable Incline Pulldown (Supine),D2387AB1,manual,-> Straight Arm Lat Pulldown (Cable)
