hevy_template_id,title,type,primary_muscle_group
3BC06AD3,21s Bicep Curl,weight_reps,biceps
B4F2FF72,Ab Scissors,reps_only,abdominals
99D5F10E,Ab Wheel,reps_only,abdominals
5E0DDACE,Aerobics,duration,cardio
43573BB8,Air Bike,duration,cardio
A69FF221,Arnold Press (Dumbbell),weight_reps,shoulders
D4A2FE7E,Around The World,weight_reps,chest
5BFF35BA,Assisted Pistol Squats,reps_only,quadriceps
4F5866F8,Back Extension (Hyperextension),reps_only,lower_back
A05C064D,Back Extension (Machine),weight_reps,lower_back
091737FA,Back Extension (Weighted Hyperextension),bodyweight_weighted,lower_back
F51D9080,Ball Slams,weight_reps,full_body
E8D86EE8,Band Pullaparts,reps_only,shoulders
084A67CA,Battle Ropes,duration,cardio
DDB29047,Behind the Back Bicep Wrist Curl (Barbell),weight_reps,forearms
2DBCA395,Behind the Back Curl (Cable),weight_reps,biceps
3D1CDC75,Belt Squat (Machine),weight_reps,quadriceps
CD6DC8E5,Bench Dip,reps_only,triceps
79D0BB3A,Bench Press (Barbell),weight_reps,chest
99C1F2AD,Bench Press (Cable),weight_reps,chest
3601968B,Bench Press (Dumbbell),weight_reps,chest
0FBF7195,Bench Press (Smith Machine),weight_reps,chest
35B51B87,Bench Press - Close Grip (Barbell),weight_reps,triceps
E644F828,Bench Press - Wide Grip (Barbell),weight_reps,chest
EA820646,Bent Over Row (Band),weight_reps,upper_back
55E6546F,Bent Over Row (Barbell),weight_reps,upper_back
23E92538,Bent Over Row (Dumbbell),weight_reps,upper_back
A5AC6449,Bicep Curl (Barbell),weight_reps,biceps
ADA8623C,Bicep Curl (Cable),weight_reps,biceps
37FCC2BB,Bicep Curl (Dumbbell),weight_reps,biceps
AF328E3D,Bicep Curl (Machine),weight_reps,biceps
0B4C1902,Bicep Curl (Suspension),reps_only,biceps
348045bb-cf8a-48a3-9dc2-c86367786a2b,Bicep Static Stretch,duration,biceps
A41C7261,Bicycle Crunch,reps_only,abdominals
594450D2,Bicycle Crunch Raised Legs,reps_only,abdominals
BD0AD077,Bird Dog,reps_only,glutes
56092DD1,Box Jump,reps_only,quadriceps
